run_id,task_id,program,tier,format_level,arm,repeat,produced_nonempty,self_consistent,n_tool_calls,n_parsers_tried,n_bash,n_turns,cost_usd,n_tool_errors,n_wrong_parser,n_extractable,n_correct,recall,precision,n_extra_unverified,success
ABINIT__9IH2u4pY__BARE__0,ABINIT__9IH2u4pY,ABINIT,hard,L2,BARE,0,1,1,13,2,6,24,0.37507575,3,4,0,0,0.0,0.0,9,0
ABINIT__9IH2u4pY__COMPLEXITY__0,ABINIT__9IH2u4pY,ABINIT,hard,L2,COMPLEXITY,0,1,1,6,0,3,14,0.2504545,0,0,0,0,0.0,0.0,9,0
ABINIT__9IH2u4pY__DOCS__0,ABINIT__9IH2u4pY,ABINIT,hard,L2,DOCS,0,1,1,11,3,5,19,0.3274425,2,3,0,0,0.0,0.0,9,0
ABINIT__9IH2u4pY__FULL__0,ABINIT__9IH2u4pY,ABINIT,hard,L2,FULL,0,1,1,14,3,9,27,0.49083225,2,3,0,0,0.0,0.0,9,0
ABINIT__9IH2u4pY__NONE__0,ABINIT__9IH2u4pY,ABINIT,hard,L2,NONE,0,1,1,7,0,6,15,0.2450855,0,0,0,0,0.0,0.0,9,0
ABINIT__TEmqes8E__BARE__0,ABINIT__TEmqes8E,ABINIT,hard,L2,BARE,0,1,1,6,2,1,11,0.48739600000000005,1,2,0,0,0.0,0.0,9,0
ABINIT__TEmqes8E__COMPLEXITY__0,ABINIT__TEmqes8E,ABINIT,hard,L2,COMPLEXITY,0,1,1,3,0,1,7,0.4386445,0,0,0,0,0.0,0.0,7,0
ABINIT__TEmqes8E__DOCS__0,ABINIT__TEmqes8E,ABINIT,hard,L2,DOCS,0,1,1,7,3,0,17,0.5461085,3,4,0,0,0.0,0.0,9,0
ABINIT__TEmqes8E__FULL__0,ABINIT__TEmqes8E,ABINIT,hard,L2,FULL,0,1,1,9,3,1,19,0.6398815,3,4,0,0,0.0,0.0,8,0
ABINIT__TEmqes8E__NONE__0,ABINIT__TEmqes8E,ABINIT,hard,L2,NONE,0,1,1,3,0,1,7,0.31126849999999995,0,0,0,0,0.0,0.0,7,0
CASTEP__zrBGgzaz__BARE__0,CASTEP__zrBGgzaz,CASTEP,hard,L2,BARE,0,1,1,6,2,2,15,0.36661199999999994,2,2,0,0,0.0,0.0,10,0
CASTEP__zrBGgzaz__COMPLEXITY__0,CASTEP__zrBGgzaz,CASTEP,hard,L2,COMPLEXITY,0,1,1,2,0,1,6,0.23207324999999998,0,0,0,0,0.0,0.0,10,0
CASTEP__zrBGgzaz__DOCS__0,CASTEP__zrBGgzaz,CASTEP,hard,L2,DOCS,0,1,1,6,1,1,13,0.32613025,1,1,0,0,0.0,0.0,10,0
CASTEP__zrBGgzaz__FULL__0,CASTEP__zrBGgzaz,CASTEP,hard,L2,FULL,0,1,1,9,2,2,19,0.44091974999999994,3,3,0,0,0.0,0.0,10,0
CASTEP__zrBGgzaz__NONE__0,CASTEP__zrBGgzaz,CASTEP,hard,L2,NONE,0,1,1,3,0,2,7,0.22656424999999997,0,0,0,0,0.0,0.0,10,0
CASTEP__zs4_TvFw__BARE__0,CASTEP__zs4_TvFw,CASTEP,hard,L2,BARE,0,1,1,7,2,2,13,0.36128000000000005,2,2,0,0,0.0,0.0,10,0
CASTEP__zs4_TvFw__COMPLEXITY__0,CASTEP__zs4_TvFw,CASTEP,hard,L2,COMPLEXITY,0,1,1,6,0,5,11,0.33492900000000003,0,0,0,0,0.0,0.0,10,0
CASTEP__zs4_TvFw__DOCS__0,CASTEP__zs4_TvFw,CASTEP,hard,L2,DOCS,0,1,1,8,2,2,16,0.42122299999999996,2,2,0,0,0.0,0.0,10,0
CASTEP__zs4_TvFw__FULL__0,CASTEP__zs4_TvFw,CASTEP,hard,L2,FULL,0,1,1,7,2,5,15,0.36313,2,2,0,0,0.0,0.0,10,0
